Textual_feature,Credit_label
"Status of existing checking account is less than 0 DM; Duration in month is 6; Credit history is critical account or other credits existing (not at this bank); Purpose is radio/television; Credit amount is 1169; Savings account/bonds is unknown/ no savings account; Present employment since is longer than 7 years; Installment rate in percentage of disposable income is 4; Personal status and sex is single male; Other debtors or guarantors is none; Present residence since is 4; Property is real estate; Age in years is 67; Other installment plans is none; Housing is own; Number of existing credits at this bank is 2; Job is skilled employee or official; Number of people being liable to provide maintenance for is 1; Telephone is yes, registered under the customers name; foreign worker is yes.",Good
Status of existing checking account is between 0 DM and 200 DM; Duration in month is 48; Credit history is existing credits paid back duly till now; Purpose is radio/television; Credit amount is 5951; Savings account/bonds is less than 100 DM; Present employment since is between 1 year to 4 years; Installment rate in percentage of disposable income is 2; Personal status and sex is divorced/separated/married female; Other debtors or guarantors is none; Present residence since is 2; Property is real estate; Age in years is 22; Other installment plans is none; Housing is own; Number of existing credits at this bank is 1; Job is skilled employee or official; Number of people being liable to provide maintenance for is 1; Telephone is none; foreign worker is yes.,Bad
Status of existing checking account is no checking account; Duration in month is 12; Credit history is critical account or other credits existing (not at this bank); Purpose is education; Credit amount is 2096; Savings account/bonds is less than 100 DM; Present employment since is between 4 years to 7 years; Installment rate in percentage of disposable income is 2; Personal status and sex is single male; Other debtors or guarantors is none; Present residence since is 3; Property is real estate; Age in years is 49; Other installment plans is none; Housing is own; Number of existing credits at this bank is 1; Job is unskilled - resident; Number of people being liable to provide maintenance for is 2; Telephone is none; foreign worker is yes.,Good
Status of existing checking account is less than 0 DM; Duration in month is 42; Credit history is existing credits paid back duly till now; Purpose is furniture/equipment; Credit amount is 7882; Savings account/bonds is less than 100 DM; Present employment since is between 4 years to 7 years; Installment rate in percentage of disposable income is 2; Personal status and sex is single male; Other debtors or guarantors is guarantor; Present residence since is 4; Property is building society savings agreement/life insurance; Age in years is 45; Other installment plans is none; Housing is for free; Number of existing credits at this bank is 1; Job is skilled employee or official; Number of people being liable to provide maintenance for is 2; Telephone is none; foreign worker is yes.,Good
Status of existing checking account is less than 0 DM; Duration in month is 24; Credit history is delay in paying off in the past; Purpose is car (new); Credit amount is 4870; Savings account/bonds is less than 100 DM; Present employment since is between 1 year to 4 years; Installment rate in percentage of disposable income is 3; Personal status and sex is single male; Other debtors or guarantors is none; Present residence since is 4; Property is unknown or no property; Age in years is 53; Other installment plans is none; Housing is for free; Number of existing credits at this bank is 2; Job is skilled employee or official; Number of people being liable to provide maintenance for is 2; Telephone is none; foreign worker is yes.,Bad
"Status of existing checking account is no checking account; Duration in month is 36; Credit history is existing credits paid back duly till now; Purpose is education; Credit amount is 9055; Savings account/bonds is unknown/ no savings account; Present employment since is between 1 year to 4 years; Installment rate in percentage of disposable income is 2; Personal status and sex is single male; Other debtors or guarantors is none; Present residence since is 4; Property is unknown or no property; Age in years is 35; Other installment plans is none; Housing is for free; Number of existing credits at this bank is 1; Job is unskilled - resident; Number of people being liable to provide maintenance for is 2; Telephone is yes, registered under the customers name; foreign worker is yes.",Good
Status of existing checking account is no checking account; Duration in month is 24; Credit history is existing credits paid back duly till now; Purpose is furniture/equipment; Credit amount is 2835; Savings account/bonds is between 500 DM and 1000 DM; Present employment since is longer than 7 years; Installment rate in percentage of disposable income is 3; Personal status and sex is single male; Other debtors or guarantors is none; Present residence since is 4; Property is building society savings agreement/life insurance; Age in years is 53; Other installment plans is none; Housing is own; Number of existing credits at this bank is 1; Job is skilled employee or official; Number of people being liable to provide maintenance for is 1; Telephone is none; foreign worker is yes.,Good
"Status of existing checking account is between 0 DM and 200 DM; Duration in month is 36; Credit history is existing credits paid back duly till now; Purpose is car (used); Credit amount is 6948; Savings account/bonds is less than 100 DM; Present employment since is between 1 year to 4 years; Installment rate in percentage of disposable income is 2; Personal status and sex is single male; Other debtors or guarantors is none; Present residence since is 2; Property is car or other; Age in years is 35; Other installment plans is none; Housing is rent; Number of existing credits at this bank is 1; Job is management or self-employed or highly qualified employee or officer; Number of people being liable to provide maintenance for is 1; Telephone is yes, registered under the customers name; foreign worker is yes.",Good
Status of existing checking account is no checking account; Duration in month is 12; Credit history is existing credits paid back duly till now; Purpose is radio/television; Credit amount is 3059; Savings account/bonds is larger than 1000 DM; Present employment since is between 4 years to 7 years; Installment rate in percentage of disposable income is 2; Personal status and sex is divorced/separated male; Other debtors or guarantors is none; Present residence since is 4; Property is real estate; Age in years is 61; Other installment plans is none; Housing is own; Number of existing credits at this bank is 1; Job is unskilled - resident; Number of people being liable to provide maintenance for is 1; Telephone is none; foreign worker is yes.,Good
Status of existing checking account is between 0 DM and 200 DM; Duration in month is 30; Credit history is critical account or other credits existing (not at this bank); Purpose is car (new); Credit amount is 5234; Savings account/bonds is less than 100 DM; Present employment since is unemployed; Installment rate in percentage of disposable income is 4; Personal status and sex is married/widowed male; Other debtors or guarantors is none; Present residence since is 2; Property is car or other; Age in years is 28; Other installment plans is none; Housing is own; Number of existing credits at this bank is 2; Job is management or self-employed or highly qualified employee or officer; Number of people being liable to provide maintenance for is 1; Telephone is none; foreign worker is yes.,Bad
Status of existing checking account is between 0 DM and 200 DM; Duration in month is 12; Credit history is existing credits paid back duly till now; Purpose is car (new); Credit amount is 1295; Savings account/bonds is less than 100 DM; Present employment since is shorter than 1 year; Installment rate in percentage of disposable income is 3; Personal status and sex is divorced/separated/married female; Other debtors or guarantors is none; Present residence since is 1; Property is car or other; Age in years is 25; Other installment plans is none; Housing is rent; Number of existing credits at this bank is 1; Job is skilled employee or official; Number of people being liable to provide maintenance for is 1; Telephone is none; foreign worker is yes.,Bad
